Wall time,Step,Value
1519513997.0228827,204,0.8125
1519513998.3589282,206,0.875
1519513999.024425,207,0.75
1519513999.6858606,208,0.78125
1519514000.354988,209,0.84375
1519514001.0192652,210,0.8125
1519514003.0237489,213,0.75
1519514003.678318,214,0.875
1519514004.3337722,215,0.71875
1519514004.992855,216,0.84375
1519514005.6552274,217,0.8125
1519514006.3248467,218,0.84375
1519514006.983953,219,0.90625
1519514007.637102,220,0.8125
1519514008.3094857,221,0.84375
1519514008.961804,222,0.6875
1519514009.6128051,223,0.9375
1519514010.2729378,224,0.875
1519514011.605093,226,0.875
1519514012.2788966,227,0.875
1519514012.9435813,228,0.75
1519514014.2759438,230,0.84375
1519514014.9309022,231,0.71875
1519514015.5861995,232,0.84375
1519514016.2497613,233,0.8125
1519514016.9210393,234,0.875
1519514017.5897021,235,0.84375
1519514018.2527537,236,0.84375
1519514019.5833087,238,0.78125
1519514020.249511,239,0.90625
1519514025.533146,241,0.8125
1519514026.1903398,242,0.84375
1519514026.856726,243,0.84375
1519514028.2101016,245,0.78125
1519514028.8792758,246,0.78125
1519514029.577893,247,0.6875
1519514030.2408967,248,0.90625
1519514030.9060388,249,0.9375
1519514031.5709357,250,0.8125
1519514032.2297873,251,0.8125
1519514032.900596,252,0.71875
1519514033.5585005,253,0.78125
1519514034.2206192,254,0.71875
1519514034.8871064,255,0.875
1519514035.557037,256,0.8125
1519514036.2127633,257,0.8125
1519514037.5336974,259,0.84375
1519514038.216707,260,0.75
1519514038.8958185,261,0.71875
1519514039.5696948,262,0.65625
1519514040.8946202,264,0.78125
1519514041.5645072,265,0.75
1519514042.2179072,266,0.84375
1519514043.5437033,268,0.8125
1519514044.8660116,270,0.875
1519514046.1896915,272,0.875
1519514046.8543177,273,0.84375
1519514047.5122054,274,0.875
1519514048.1700494,275,0.875
1519514048.8314266,276,0.875
1519514050.1545327,278,0.6875
1519514050.8271847,279,0.84375
1519514051.481657,280,0.875
1519514052.1465755,281,0.90625
1519514052.8101208,282,0.78125
1519514053.4775784,283,0.875
1519514054.141764,284,0.875
1519514054.8193338,285,0.84375
1519514058.1494617,290,0.875
1519514059.459145,292,0.78125
1519514060.12659,293,0.6875
1519514061.5010107,295,0.90625
1519514062.1690428,296,0.84375
1519514062.8215754,297,0.875
1519514063.4924498,298,0.75
1519514064.14791,299,0.90625
1519514064.5504255,300,0.8235294222831726
1519514068.4494438,301,0.75
1519514069.1296983,302,0.84375
1519514069.7910633,303,0.84375
1519514070.4601552,304,0.625
1519514071.1397111,305,0.84375
1519514073.1215785,308,0.8125
1519514073.7875392,309,0.90625
1519514074.4608407,310,0.78125
1519514075.1296675,311,0.78125
1519514075.8002543,312,0.78125
1519514077.12721,314,0.71875
1519514077.7864895,315,0.8125
1519514078.449215,316,0.75
1519514079.1040504,317,0.90625
1519514079.7574701,318,0.78125
1519514080.4324093,319,0.875
1519514081.0919685,320,0.90625
1519514081.7650983,321,0.8125
1519514082.4820466,322,0.71875
1519514083.1584735,323,0.84375
1519514083.8154452,324,0.75
1519514084.4833384,325,0.84375
1519514085.1581185,326,0.78125
1519514085.813918,327,0.78125
1519514086.4878118,328,0.8125
1519514087.1474833,329,0.84375
1519514088.4859052,331,0.875
1519514089.1604257,332,0.875
1519514090.4871655,334,0.875
1519514091.8248997,336,0.84375
1519514093.1637132,338,0.84375
1519514093.821984,339,0.8125
1519514094.4763494,340,0.875
1519514095.133386,341,0.875
1519514095.8026512,342,0.8125
1519514096.4583397,343,0.875
1519514097.116884,344,0.875
1519514097.7864964,345,0.8125
1519514098.448698,346,0.84375
1519514099.1150217,347,0.84375
1519514099.781636,348,0.75
1519514100.4552205,349,0.78125
1519514101.118965,350,0.875
1519514101.775434,351,0.6875
1519514102.444034,352,0.78125
1519514103.1124852,353,0.84375
1519514103.7812357,354,0.9375
1519514104.4402974,355,0.875
1519514105.1312165,356,0.90625
1519514105.803805,357,0.84375
1519514106.47216,358,0.84375
1519514107.134209,359,0.90625
1519514107.5366979,360,0.7647058963775635
1519514111.4798443,361,0.78125
1519514112.1568654,362,0.9375
1519514112.8149931,363,0.875
1519514113.4759054,364,0.71875
1519514114.1501937,365,0.875
1519514114.8144343,366,0.71875
1519514115.4705374,367,0.5625
1519514116.1347797,368,0.84375
1519514116.7968805,369,0.875
1519514118.1212466,371,0.84375
1519514118.7831273,372,0.78125
1519514120.1018655,374,0.6875
1519514120.7603178,375,0.84375
1519514121.4277377,376,0.8125
1519514122.093437,377,0.9375
1519514122.7605937,378,0.84375
1519514123.451428,379,0.8125
1519514124.120248,380,0.90625
1519514125.4476779,382,0.75
1519514126.1199017,383,0.9375
1519514127.459875,385,0.78125
1519514128.1255412,386,0.84375
1519514128.7917416,387,0.78125
1519514129.4959638,388,0.875
1519514130.1550126,389,0.84375
1519514131.49525,391,0.84375
1519514132.1609883,392,0.875
1519514132.8340597,393,0.78125
1519514133.5053637,394,0.9375
1519514134.8382878,396,0.84375
1519514135.4956355,397,0.8125
1519514136.1684933,398,0.875
1519514136.8826709,399,0.90625
1519514137.5591762,400,0.8125
1519514138.903205,402,0.78125
1519514139.5729558,403,0.9375
1519514140.243341,404,0.90625
1519514141.5768874,406,0.875
1519514142.3237166,407,0.84375
1519514143.6707866,409,0.8125
1519514144.9983141,411,0.75
1519514145.6612039,412,0.90625
1519514146.3166635,413,0.75
1519514147.6336823,415,0.90625
1519514148.3081985,416,0.9375
1519514148.9747105,417,0.90625
1519514150.3130565,419,0.90625
1519514150.719114,420,0.9411764740943909
1519514154.7272184,421,0.8125
1519514155.3929229,422,0.90625
1519514156.0545642,423,0.875
1519514156.7157364,424,0.78125
1519514157.3832192,425,0.78125
1519514158.7532492,427,0.625
1519514160.0727954,429,0.90625
1519514161.413145,431,0.84375
1519514162.7646196,433,0.75
1519514164.7616034,436,0.8125
1519514165.4570334,437,0.84375
1519514166.8195693,439,0.8125
1519514167.5431654,440,0.8125
1519514168.2076302,441,0.84375
1519514168.8652055,442,0.71875
1519514169.5316455,443,0.9375
1519514170.8445923,445,0.78125
1519514171.506498,446,0.8125
1519514172.1712883,447,0.8125
1519514172.8551545,448,0.84375
1519514173.5156593,449,0.8125
1519514174.1800601,450,0.875
1519514174.8469346,451,0.78125
1519514175.5135622,452,0.90625
1519514176.1734731,453,0.84375
1519514176.8380733,454,0.90625
1519514177.5012496,455,0.84375
1519514178.1737165,456,0.875
1519514179.501569,458,0.8125
1519514180.2535834,459,0.8125
1519514180.9348402,460,0.9375
1519514181.6022527,461,0.90625
1519514182.2607358,462,0.78125
1519514182.934086,463,0.9375
1519514183.5910945,464,0.84375
1519514184.2573695,465,0.875
1519514184.9167585,466,0.9375
1519514185.574645,467,0.9375
1519514186.246311,468,0.75
1519514186.8994155,469,0.875
1519514187.576412,470,0.9375
1519514188.2415898,471,0.78125
1519514188.8960655,472,0.84375
1519514189.572639,473,0.78125
1519514190.2292595,474,0.90625
1519514190.892405,475,0.90625
1519514191.5612197,476,0.875
1519514192.8939607,478,0.8125
1519514193.5616457,479,0.875
1519514199.296656,483,0.8125
1519514199.9603524,484,0.65625
1519514200.6305256,485,0.78125
1519514201.3081203,486,0.75
1519514201.9624805,487,0.65625
1519514202.6170104,488,0.875
1519514203.2814412,489,0.875
1519514203.9409235,490,0.90625
1519514205.265832,492,0.875
1519514205.934902,493,0.75
1519514206.6016266,494,0.6875
1519514208.580653,497,0.875
1519514209.2388823,498,0.78125
1519514210.5765655,500,0.96875
1519514212.5898695,503,0.875
1519514213.2507312,504,0.75
1519514213.9127102,505,0.8125
1519514214.5798848,506,0.875
1519514215.2396195,507,0.84375
1519514215.8932078,508,0.875
1519514216.557947,509,0.84375
1519514217.223021,510,0.9375
1519514217.8910818,511,0.84375
1519514218.5591614,512,0.875
1519514219.2303948,513,0.8125
1519514220.553868,515,0.78125
1519514221.2143438,516,0.875
1519514221.883243,517,0.8125
1519514222.5695758,518,0.84375
1519514223.2301228,519,0.9375
1519514223.8939357,520,0.90625
1519514224.5557528,521,0.96875
1519514225.902253,523,0.90625
1519514226.5587723,524,0.9375
1519514227.2257273,525,0.8125
1519514227.908827,526,0.875
1519514231.9124825,532,0.875
1519514233.2310805,534,0.96875
1519514233.8960116,535,0.875
1519514234.554381,536,0.90625
1519514235.2152872,537,0.9375
1519514235.8805618,538,0.8125
1519514236.5527115,539,0.90625
1519514236.9559424,540,0.9411764740943909
1519514240.9697547,541,0.84375
1519514241.6467135,542,0.875
1519514242.3087177,543,0.96875
1519514242.9786646,544,0.71875
1519514243.6641014,545,0.8125
1519514244.3172705,546,0.875
1519514244.9761834,547,0.6875
1519514245.6319268,548,0.875
1519514246.2919722,549,0.96875
1519514246.94577,550,0.90625
1519514248.2782664,552,0.8125
1519514248.9356024,553,0.71875
1519514249.5927734,554,0.78125
1519514250.9222167,556,0.8125
1519514251.5821695,557,0.9375
1519514252.240121,558,0.9375
1519514252.913392,559,0.90625
1519514253.5706847,560,0.84375
1519514254.2345529,561,0.84375
1519514254.9034789,562,0.8125
1519514255.566429,563,0.90625
1519514256.2409499,564,0.875
1519514256.908715,565,0.75
1519514257.573434,566,0.75
1519514258.2431686,567,0.8125
1519514258.9128466,568,0.875
1519514259.588349,569,0.90625
1519514260.24907,570,0.9375
1519514260.9013836,571,0.875
1519514261.5628452,572,0.875
1519514262.2275376,573,0.8125
1519514262.8955884,574,0.9375
1519514263.6313412,575,0.8125
1519514264.971524,577,0.875
1519514265.6295326,578,0.875
1519514266.297713,579,0.875
1519514266.951644,580,0.875
1519514267.6192763,581,0.875
1519514268.2880049,582,0.78125
1519514268.9521892,583,0.96875
1519514269.6141613,584,0.84375
1519514270.2758741,585,0.875
1519514270.939715,586,0.90625
1519514271.6112785,587,0.875
1519514272.2729025,588,0.8125
1519514272.962764,589,0.8125
1519514273.6169782,590,0.90625
1519514274.980986,592,0.8125
1519514275.6410904,593,0.78125
1519514276.2988412,594,1.0
1519514277.6359959,596,0.9375
1519514278.2910092,597,0.875
1519514278.9535503,598,0.78125
1519514279.6138952,599,0.84375
1519514280.018919,600,0.8823529481887817
1519514283.9906995,601,0.84375
1519514284.6629465,602,0.90625
1519514285.3196435,603,0.9375
1519514285.9891446,604,0.75
1519514286.653922,605,0.8125
1519514287.327741,606,0.84375
1519514287.9854596,607,0.625
1519514289.3155541,609,0.90625
1519514290.6445296,611,0.84375
1519514291.329099,612,0.875
1519514291.982437,613,0.875
1519514293.9830167,616,0.90625
1519514296.639912,620,0.75
1519514297.308105,621,0.875
1519514297.9755187,622,0.875
1519514298.6369228,623,0.84375
1519514299.301549,624,0.875
1519514299.9585238,625,0.78125
1519514300.6201816,626,0.8125
1519514301.2861032,627,0.875
1519514303.2855372,630,0.90625
1519514303.9545417,631,0.90625
1519514304.6285613,632,0.9375
1519514305.299362,633,0.84375
1519514306.6365523,635,0.8125
1519514307.3027542,636,0.8125
1519514307.9792657,637,0.8125
1519514309.317092,639,0.90625
1519514309.972415,640,0.875
1519514310.6353307,641,0.9375
1519514311.3022876,642,0.8125
1519514311.9596171,643,1.0
1519514312.633999,644,0.9375
1519514313.30179,645,0.90625
1519514313.9696884,646,0.875
1519514314.6288877,647,0.90625
1519514315.2807906,648,0.8125
1519514315.9397655,649,0.875
1519514316.594872,650,0.9375
1519514317.2753692,651,0.75
1519514317.9346716,652,0.875
1519514318.5969508,653,0.8125
1519514319.2649686,654,0.875
1519514321.2320201,657,0.9375
1519514321.894688,658,0.84375
1519514322.5643487,659,0.84375
1519514322.9675055,660,0.9411764740943909
1519514327.9438565,661,0.78125
1519514328.6143734,662,0.90625
1519514329.2865682,663,0.9375
1519514329.9548724,664,0.8125
1519514330.6122437,665,0.84375
1519514331.2685792,666,0.90625
1519514331.9339359,667,0.6875
1519514332.6014755,668,0.84375
1519514333.2689452,669,0.96875
1519514333.937529,670,0.875
1519514335.2653282,672,0.8125
1519514335.9270654,673,0.71875
1519514336.5982237,674,0.78125
1519514337.2525253,675,0.875
1519514337.9115455,676,0.84375
1519514338.5675473,677,0.84375
1519514339.2467945,678,0.875
1519514339.9107833,679,0.9375
1519514340.5632,680,0.875
1519514341.2220097,681,0.90625
1519514341.8810227,682,0.875
1519514342.5393744,683,0.9375
1519514343.1896482,684,0.78125
1519514343.8629901,685,0.875
1519514344.5186853,686,0.875
1519514345.1919374,687,0.8125
1519514345.861707,688,0.875
1519514346.5416586,689,0.875
1519514347.1954708,690,0.90625
1519514347.855927,691,0.84375
1519514349.189645,693,0.90625
1519514350.5262804,695,0.875
1519514351.8635302,697,0.8125
1519514353.8458662,700,1.0
1519514354.5012746,701,0.90625
1519514355.1975944,702,0.8125
1519514355.856597,703,0.9375
1519514356.5192504,704,0.90625
1519514357.176617,705,0.875
1519514357.8447204,706,0.9375
1519514358.5125666,707,0.90625
1519514359.1816213,708,0.8125
1519514359.8552253,709,0.8125
1519514360.5136576,710,0.9375
1519514361.1713717,711,0.8125
1519514361.8414114,712,0.84375
1519514363.81619,715,0.9375
1519514364.4719763,716,0.90625
1519514365.145271,717,0.90625
1519514366.4569018,719,0.90625
1519514366.862619,720,0.9411764740943909
1519514371.8290493,721,0.875
1519514372.5062075,722,0.84375
1519514373.1743906,723,0.875
1519514373.8344445,724,0.78125
1519514374.489947,725,0.84375
1519514375.1518173,726,0.90625
1519514375.8043773,727,0.59375
1519514377.1290271,729,0.96875
1519514377.7854142,730,0.96875
1519514378.4541454,731,0.875
1519514379.1189206,732,0.84375
1519514379.7805817,733,0.75
1519514381.0995524,735,0.875
1519514381.7519495,736,0.875
1519514382.4064765,737,0.90625
1519514383.0865273,738,0.90625
1519514383.7519188,739,0.90625
1519514384.4135635,740,0.84375
1519514385.092536,741,0.84375
1519514385.7432425,742,0.9375
1519514386.3987765,743,0.9375
1519514387.1107347,744,0.84375
1519514387.7676582,745,0.90625
1519514388.4251995,746,0.875
1519514389.1066082,747,0.9375
1519514389.7744584,748,0.90625
1519514391.1131186,750,0.875
1519514391.7743618,751,0.84375
1519514392.4483452,752,0.84375
1519514393.1116185,753,0.90625
1519514393.7909045,754,0.90625
1519514394.4498851,755,0.84375
1519514395.1165478,756,0.875
1519514395.7824514,757,0.84375
1519514397.7694674,760,0.9375
1519514398.4333835,761,0.90625
1519514399.750408,763,0.96875
1519514400.407685,764,0.96875
1519514401.073981,765,0.96875
1519514401.7359357,766,1.0
1519514402.4082918,767,0.9375
1519514403.0669477,768,0.84375
1519514404.3883843,770,0.96875
1519514405.0607266,771,0.8125
1519514405.724207,772,0.90625
1519514406.389061,773,0.875
1519514407.0530071,774,0.9375
1519514407.7104392,775,0.96875
1519514408.3906941,776,0.96875
1519514409.0547318,777,0.90625
1519514410.3816164,779,0.875
1519514410.7864285,780,0.9411764740943909
1519514414.7247012,781,0.84375
1519514415.4265263,782,0.96875
1519514416.090145,783,0.96875
1519514416.7485783,784,0.84375
1519514417.408414,785,0.8125
1519514418.0716324,786,0.90625
1519514418.744149,787,0.71875
1519514419.4190514,788,0.90625
1519514420.0831258,789,0.9375
1519514420.7524204,790,0.9375
1519514421.4131799,791,0.875
1519514422.0774028,792,0.90625
1519514422.742382,793,0.9375
1519514423.4040763,794,0.71875
1519514424.0725448,795,0.875
1519514424.7392724,796,0.84375
1519514425.393261,797,0.9375
1519514426.071246,798,0.90625
1519514426.7428606,799,0.8125
1519514427.3975601,800,0.90625
1519514428.051937,801,0.9375
1519514429.3685997,803,0.90625
1519514430.0201228,804,0.90625
1519514430.68189,805,0.9375
1519514431.3533158,806,0.78125
1519514432.0144095,807,0.875
1519514432.681406,808,0.78125
1519514433.338158,809,0.90625
1519514434.0023487,810,0.9375
1519514435.3390508,812,0.9375
1519514436.010924,813,0.90625
1519514436.6809769,814,0.96875
1519514437.3499577,815,0.875
1519514438.0129147,816,0.96875
1519514438.6823475,817,0.84375
1519514440.0192544,819,0.90625
1519514440.6973412,820,0.9375
1519514441.3496232,821,0.875
1519514442.0362122,822,0.84375
1519514443.3530324,824,0.90625
1519514444.0208774,825,0.875
1519514444.6882868,826,0.96875
1519514445.3517544,827,0.90625
1519514446.6715074,829,0.90625
1519514447.3287141,830,0.96875
1519514447.9944701,831,0.78125
1519514448.6610863,832,0.96875
1519514449.3276713,833,0.90625
1519514449.9918048,834,0.9375
1519514450.6560438,835,0.84375
1519514451.3107276,836,0.9375
1519514451.9844394,837,0.90625
1519514452.6600785,838,0.90625
1519514453.3403482,839,0.875
1519514453.7415638,840,0.8823529481887817
1519514457.7097502,841,0.875
1519514459.0375097,843,0.96875
